Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
27009;Belews Creek;NC;36.236829;-80.07495;-5;1;36.236829,-80.07495
27916;Aydlett;NC;36.314447;-75.89888;-5;1;36.314447,-75.89888
28704;Arden;NC;35.459869;-82.54142;-5;1;35.459869,-82.54142
28564;New Bern;NC;35.110855;-77.06336;-5;1;35.110855,-77.06336
28619;Drexel;NC;35.75779;-81.60359;-5;1;35.75779,-81.60359
28788;Webster;NC;35.328533;-83.233302;-5;1;35.328533,-83.233302
28330;Cordova;NC;34.913233;-79.82302;-5;1;34.913233,-79.82302
28079;Indian Trail;NC;35.105208;-80.62098;-5;1;35.105208,-80.62098
27907;Elizabeth City;NC;36.285026;-76.255312;-5;1;36.285026,-76.255312
28108;Mineral Springs;NC;34.916253;-80.640383;-5;1;34.916253,-80.640383
28470;South Brunswick;NC;33.9666;-78.3878;-5;1;33.9666,-78.3878
27821;Edward;NC;35.321447;-76.87437;-5;1;35.321447,-76.87437
28521;Chinquapin;NC;34.826715;-77.75929;-5;1;34.826715,-77.75929
28545;Mccutcheon Field;NC;34.692056;-77.391199;-5;1;34.692056,-77.391199
28443;Hampstead;NC;34.407677;-77.65238;-5;1;34.407677,-77.65238
28559;Fairplains;NC;36.214395;-81.165972;-5;1;36.214395,-81.165972
27964;Point Harbor;NC;36.093211;-75.80319;-5;1;36.093211,-75.80319
28301;Fayetteville;NC;35.042389;-78.84124;-5;1;35.042389,-78.84124
27260;High Point;NC;35.950436;-79.99345;-5;1;35.950436,-79.99345
28804;Asheville;NC;35.635844;-82.55992;-5;1;35.635844,-82.55992
27374;Welcome;NC;35.781848;-80.203546;-5;1;35.781848,-80.203546
27803;Rocky Mount;NC;35.924465;-77.83689;-5;1;35.924465,-77.83689
28501;Kinston;NC;35.260895;-77.56469;-5;1;35.260895,-77.56469
27355;Staley;NC;35.79386;-79.55521;-5;1;35.79386,-79.55521
28547;Camp Lejeune;NC;34.637348;-77.3127;-5;1;34.637348,-77.3127
28211;Charlotte;NC;35.170094;-80.79857;-5;1;35.170094,-80.79857
27379;Yanceyville;NC;36.387904;-79.33107;-5;1;36.387904,-79.33107
28651;Millers Creek;NC;36.241685;-81.27076;-5;1;36.241685,-81.27076
27042;Pine Hall;NC;36.335676;-80.05135;-5;1;36.335676,-80.05135
28024;Cliffside;NC;35.241615;-81.775456;-5;1;35.241615,-81.775456
28392;Tar Heel;NC;34.742752;-78.80645;-5;1;34.742752,-78.80645
28656;North Wilkesboro;NC;36.238438;-81.045963;-5;1;36.238438,-81.045963
28247;Charlotte;NC;35.065595;-80.851149;-5;1;35.065595,-80.851149
28561;New Bern;NC;35.103736;-77.07585;-5;1;35.103736,-77.07585
28714;Burnsville;NC;35.891276;-82.30008;-5;1;35.891276,-82.30008
27894;Wilson;NC;35.715778;-77.904283;-5;1;35.715778,-77.904283
27051;Walkertown;NC;36.174243;-80.16679;-5;1;36.174243,-80.16679
28254;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27814;Blounts Creek;NC;35.384013;-76.93188;-5;1;35.384013,-76.93188
27510;Carrboro;NC;35.912489;-79.08144;-5;1;35.912489,-79.08144
28688;Turnersburg;NC;35.529792;-80.947028;-5;1;35.529792,-80.947028
27052;Walnut Cove;NC;36.298241;-80.14383;-5;1;36.298241,-80.14383
28272;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28538;Hookerton;NC;35.424381;-77.58452;-5;1;35.424381,-77.58452
27974;Shiloh;NC;36.233836;-76.03822;-5;1;36.233836,-76.03822
27544;Kittrell;NC;36.215193;-78.43861;-5;1;36.215193,-78.43861
27852;Macclesfield;NC;35.746654;-77.64342;-5;1;35.746654,-77.64342
28717;Cashiers;NC;35.103251;-83.09538;-5;1;35.103251,-83.09538
28391;Stedman;NC;35.016373;-78.6941;-5;1;35.016373,-78.6941
27351;Southmont;NC;35.660548;-80.283647;-5;1;35.660548,-80.283647
27842;Henrico;NC;36.531252;-77.86277;-5;1;36.531252,-77.86277
27284;Kernersville;NC;36.119887;-80.08726;-5;1;36.119887,-80.08726
28169;Waco;NC;35.362026;-81.42911;-5;1;35.362026,-81.42911
27576;Selma;NC;35.557966;-78.26479;-5;1;35.557966,-78.26479
27805;Aulander;NC;36.223682;-77.10397;-5;1;36.223682,-77.10397
28128;Norwood;NC;35.228831;-80.15214;-5;1;35.228831,-80.15214
28421;Atkinson;NC;34.524003;-78.18584;-5;1;34.524003,-78.18584
27711;Durham;NC;36.051155;-78.857651;-5;1;36.051155,-78.857651
28083;Kannapolis;NC;35.492989;-80.60293;-5;1;35.492989,-80.60293
27151;Winston Salem;NC;36.027482;-80.20728;-5;1;36.027482,-80.20728
27881;Speed;NC;35.915926999999996;-77.585471;-5;1;35.915927,-77.585471
28586;Vanceboro;NC;35.302937;-77.15546;-5;1;35.302937,-77.15546
27320;Reidsville;NC;36.345919;-79.67075;-5;1;36.345919,-79.67075
27958;Moyock;NC;36.497406;-76.13715;-5;1;36.497406,-76.13715
28033;Crouse;NC;35.416189;-81.31911;-5;1;35.416189,-81.31911
28299;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27837;Grimesland;NC;35.531965;-77.20349;-5;1;35.531965,-77.20349
28396;Wagram;NC;34.927483;-79.40099;-5;1;34.927483,-79.40099
28444;Harrells;NC;34.686496;-78.32406;-5;1;34.686496,-78.32406
28735;Gerton;NC;35.478887;-82.34855;-5;1;35.478887,-82.34855
27094;Rural Hall;NC;36.027482;-80.20728;-5;1;36.027482,-80.20728
27495;Greensboro;NC;36.080707;-80.0244;-5;1;36.080707,-80.0244
27891;Whitakers;NC;36.10607;-77.73;-5;1;36.10607,-77.73
28669;Roaring River;NC;36.229983;-80.99639;-5;1;36.229983,-80.99639
28646;Linville;NC;36.073202;-81.87177;-5;1;36.073202,-81.87177
27603;Raleigh;NC;35.716105;-78.65734;-5;1;35.716105,-78.65734
28409;Wilmington;NC;34.169953;-77.87113;-5;1;34.169953,-77.87113
27317;Randleman;NC;35.817411;-79.80389;-5;1;35.817411,-79.80389
28775;Scaly Mountain;NC;35.03107;-83.327411;-5;1;35.03107,-83.327411
28649;McGrady;NC;36.329636;-81.2111;-5;1;36.329636,-81.2111
28594;Emerald Isle;NC;34.667473;-77.01025;-5;1;34.667473,-77.01025
28020;Casar;NC;35.518637;-81.62728;-5;1;35.518637,-81.62728
28111;Monroe;NC;35.011204;-80.558743;-5;1;35.011204,-80.558743
27536;Henderson;NC;36.340681000000004;-78.39425;-5;1;36.340681,-78.39425
27202;Altamahaw;NC;36.185712;-79.50496;-5;1;36.185712,-79.50496
27252;Goldston;NC;35.564257;-79.35011;-5;1;35.564257,-79.35011
27573;Roxboro;NC;36.414739;-78.97375;-5;1;36.414739,-78.97375
28694;West Jefferson;NC;36.375468;-81.47784;-5;1;36.375468,-81.47784
27116;Winston Salem;NC;36.027482;-80.20728;-5;1;36.027482,-80.20728
27244;Elon College;NC;36.152742;-79.50839;-5;1;36.152742,-79.50839
27827;Falkland;NC;35.69872;-77.5108;-5;1;35.69872,-77.5108
27545;Knightdale;NC;35.790516;-78.48345;-5;1;35.790516,-78.48345
27936;Frisco;NC;35.24554;-75.618;-5;1;35.24554,-75.618
27706;Durham;NC;35.993143;-78.93735;-5;1;35.993143,-78.93735
27340;Saxapahaw;NC;35.948814;-79.329664;-5;1;35.948814,-79.329664
27344;Siler City;NC;35.729692;-79.44984;-5;1;35.729692,-79.44984
27570;Ridgeway;NC;36.441215;-78.24044;-5;1;36.441215,-78.24044
28356;Linden;NC;35.237338;-78.79613;-5;1;35.237338,-78.79613
28509;Alliance;NC;35.156145;-76.632264;-5;1;35.156145,-76.632264
27101;Winston Salem;NC;36.107037;-80.21918;-5;1;36.107037,-80.21918
28025;Concord;NC;35.400407;-80.56574;-5;1;35.400407,-80.56574
28763;Otto;NC;35.050529;-83.42225;-5;1;35.050529,-83.42225
27526;Fuquay Varina;NC;35.575302;-78.80234;-5;1;35.575302,-78.80234
28435;Currie;NC;34.430433;-78.10539;-5;1;34.430433,-78.10539
27410;Greensboro;NC;36.116854;-79.88291;-5;1;36.116854,-79.88291
28284;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
28379;Rockingham;NC;34.937078;-79.7605;-5;1;34.937078,-79.7605
27397;Yanceyville;NC;36.403393;-79.333836;-5;1;36.403393,-79.333836
28163;Stanfield;NC;35.245048;-80.4163;-5;1;35.245048,-80.4163
28367;Norman;NC;35.173481;-79.72363;-5;1;35.173481,-79.72363
27617;Raleigh;NC;35.906016;-78.743197;-5;1;35.906016,-78.743197
27954;Manteo;NC;35.913938;-75.67961;-5;1;35.913938,-75.67961
27972;Salvo;NC;35.538351;-75.47473;-5;1;35.538351,-75.47473
28241;Charlotte;NC;35.26002;-80.804151;-5;1;35.26002,-80.804151
27243;Efland;NC;36.082138;-79.18649;-5;1;36.082138,-79.18649
28092;Lincolnton;NC;35.473447;-81.24094;-5;1;35.473447,-81.24094
28767;Old Fort;NC;35.640648;-82.165546;-5;1;35.640648,-82.165546
